Name,SC_PSNR
Simulated_V1\170_OrigSim1Vcomp.jpg,0.3
Simulated_V1\171_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\172_OrigSim1Vcomp.jpg,0.9875
Simulated_V1\173_OrigSim1Vcomp.jpg,0.3
Simulated_V1\174_OrigSim1Vcomp.jpg,0.3
Simulated_V1\175_OrigSim1Vcomp.jpg,0.55
Simulated_V1\181_OrigSim1Vcomp.jpg,0.425
Simulated_V1\184_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\185_OrigSim1Vcomp.jpg,0.55
Simulated_V1\188_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\193_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\195_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\196_OrigSim1Vcomp.jpg,0.55
Simulated_V1\198_OrigSim1Vcomp.jpg,0.55
Simulated_V1\199_OrigSim1Vcomp.jpg,0.55
Simulated_V1\202_OrigSim1Vcomp.jpg,0.8
Simulated_V1\204_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\206_OrigSim1Vcomp.jpg,0.9875
Simulated_V1\207_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\208_OrigSim1Vcomp.jpg,0.675
Simulated_V1\209_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\210_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\212_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\213_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\214_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\215_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\216_OrigSim1Vcomp.jpg,0.3
Simulated_V1\218_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\219_OrigSim1Vcomp.jpg,0.3
Simulated_V1\220_OrigSim1Vcomp.jpg,1.175
Simulated_V1\222_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\223_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\224_OrigSim1Vcomp.jpg,0.3
Simulated_V1\225_OrigSim1Vcomp.jpg,1.1125
Simulated_V1\226_OrigSim1Vcomp.jpg,0.3
Simulated_V1\227_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\228_OrigSim1Vcomp.jpg,0.3
Simulated_V1\229_OrigSim1Vcomp.jpg,0.2375
Simulated_V1\230_OrigSim1Vcomp.jpg,0.3625
,
Simulated_V2\025_OrigSim2Vcomp.jpg,0.55
Simulated_V2\026_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\027_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\028_OrigSim2Vcomp.jpg,1.1125
Simulated_V2\029_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\030_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\031_OrigSim2Vcomp.jpg,0.675
Simulated_V2\034_OrigSim2Vcomp.jpg,0.8
Simulated_V2\039_OrigSim2Vcomp.jpg,0.425
Simulated_V2\040_OrigSim2Vcomp.jpg,0.3
Simulated_V2\041_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\042_OrigSim2Vcomp.jpg,0.3
Simulated_V2\043_OrigSim2Vcomp.jpg,0.175
Simulated_V2\044_OrigSim2Vcomp.jpg,0.3
Simulated_V2\045_OrigSim2Vcomp.jpg,0.3
Simulated_V2\046_OrigSim2Vcomp.jpg,0.55
Simulated_V2\047_OrigSim2Vcomp.jpg,0.7375
Simulated_V2\048_OrigSim2Vcomp.jpg,0.425
Simulated_V2\049_OrigSim2Vcomp.jpg,0.3
Simulated_V2\050_OrigSim2Vcomp.jpg,0.55
Simulated_V2\051_OrigSim2Vcomp.jpg,0.425
Simulated_V2\052_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\053_OrigSim2Vcomp.jpg,0.425
Simulated_V2\055_OrigSim2Vcomp.jpg,0.55
Simulated_V2\056_OrigSim2Vcomp.jpg,1.05
Simulated_V2\057_OrigSim2Vcomp.jpg,0.425
Simulated_V2\058_OrigSim2Vcomp.jpg,0.55
Simulated_V2\059_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\060_OrigSim2Vcomp.jpg,0.425
Simulated_V2\061_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\062_OrigSim2Vcomp.jpg,0.425
Simulated_V2\063_OrigSim2Vcomp.jpg,0.3
Simulated_V2\064_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\065_OrigSim2Vcomp.jpg,0.55
Simulated_V2\066_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\067_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\068_OrigSim2Vcomp.jpg,0.425
Simulated_V2\069_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\070_OrigSim2Vcomp.jpg,0.425
Simulated_V2\071_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\072_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\073_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\075_OrigSim2Vcomp.jpg,0.3
Simulated_V2\076_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\077_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\078_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\079_OrigSim2Vcomp.jpg,0.675
Simulated_V2\080_OrigSim2Vcomp.jpg,0.425
Simulated_V2\081_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\082_OrigSim2Vcomp.jpg,0.425
Simulated_V2\084_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\085_OrigSim2Vcomp.jpg,0.425
Simulated_V2\087_OrigSim2Vcomp.jpg,0.425
Simulated_V2\088_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\089_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\090_OrigSim2Vcomp.jpg,0.55
Simulated_V2\091_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\092_OrigSim2Vcomp.jpg,0.55
Simulated_V2\093_OrigSim2Vcomp.jpg,0.425
Simulated_V2\095_OrigSim2Vcomp.jpg,0.55
Simulated_V2\096_OrigSim2Vcomp.jpg,0.3
Simulated_V2\097_OrigSim2Vcomp.jpg,0.675
Simulated_V2\099_OrigSim2Vcomp.jpg,0.425
Simulated_V2\100_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\103_OrigSim2Vcomp.jpg,0.55
Simulated_V2\104_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\105_OrigSim2Vcomp.jpg,0.675
Simulated_V2\106_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\107_OrigSim2Vcomp.jpg,0.55
Simulated_V2\108_OrigSim2Vcomp.jpg,0.55
Simulated_V2\109_OrigSim2Vcomp.jpg,0.675
Simulated_V2\110_OrigSim2Vcomp.jpg,0.7375
Simulated_V2\113_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\114_OrigSim2Vcomp.jpg,0.3
Simulated_V2\116_OrigSim2Vcomp.jpg,0.7375
Simulated_V2\117_OrigSim2Vcomp.jpg,0.8
Simulated_V2\118_OrigSim2Vcomp.jpg,0.925
Simulated_V2\119_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\120_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\121_OrigSim2Vcomp.jpg,0.8
Simulated_V2\125_OrigSim2Vcomp.jpg,0.8
Simulated_V2\126_OrigSim2Vcomp.jpg,0.3
Simulated_V2\128_OrigSim2Vcomp.jpg,0.925
Simulated_V2\130_OrigSim2Vcomp.jpg,0.9875
Simulated_V2\131_OrigSim2Vcomp.jpg,0.425
Simulated_V2\133_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\134_OrigSim2Vcomp.jpg,0.675
Simulated_V2\135_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\140_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\142_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\143_OrigSim2Vcomp.jpg,0.55
Simulated_V2\144_OrigSim2Vcomp.jpg,0.55
Simulated_V2\145_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\146_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\148_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\150_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\152_OrigSim2Vcomp.jpg,0.55
Simulated_V2\153_OrigSim2Vcomp.jpg,0.675
Simulated_V2\154_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\155_OrigSim2Vcomp.jpg,0.175
Simulated_V2\156_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\157_OrigSim2Vcomp.jpg,0.3
Simulated_V2\158_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\159_OrigSim2Vcomp.jpg,0.55
Simulated_V2\160_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\161_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\162_OrigSim2Vcomp.jpg,0.3
Simulated_V2\163_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\165_OrigSim2Vcomp.jpg,0.675
Simulated_V2\166_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\167_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\168_OrigSim2Vcomp.jpg,0.425
Simulated_V2\169_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\170_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\171_OrigSim2Vcomp.jpg,0.675
Simulated_V2\172_OrigSim2Vcomp.jpg,0.925
Simulated_V2\173_OrigSim2Vcomp.jpg,0.3
Simulated_V2\174_OrigSim2Vcomp.jpg,0.3
Simulated_V2\175_OrigSim2Vcomp.jpg,0.675
Simulated_V2\181_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\184_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\185_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\188_OrigSim2Vcomp.jpg,0.425
Simulated_V2\193_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\195_OrigSim2Vcomp.jpg,0.55
Simulated_V2\196_OrigSim2Vcomp.jpg,0.55
Simulated_V2\198_OrigSim2Vcomp.jpg,0.55
Simulated_V2\199_OrigSim2Vcomp.jpg,0.55
Simulated_V2\202_OrigSim2Vcomp.jpg,0.8
Simulated_V2\204_OrigSim2Vcomp.jpg,0.425
Simulated_V2\206_OrigSim2Vcomp.jpg,0.9875
Simulated_V2\207_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\208_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\209_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\210_OrigSim2Vcomp.jpg,0.425
Simulated_V2\212_OrigSim2Vcomp.jpg,0.7375
Simulated_V2\213_OrigSim2Vcomp.jpg,0.3
Simulated_V2\214_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\215_OrigSim2Vcomp.jpg,0.55
Simulated_V2\216_OrigSim2Vcomp.jpg,0.3
Simulated_V2\218_OrigSim2Vcomp.jpg,0.3625
Simulated_V2\219_OrigSim2Vcomp.jpg,0.3
Simulated_V2\220_OrigSim2Vcomp.jpg,1.1125
Simulated_V2\222_OrigSim2Vcomp.jpg,0.6125
Simulated_V2\223_OrigSim2Vcomp.jpg,0.4875
Simulated_V2\224_OrigSim2Vcomp.jpg,0.3
Simulated_V2\225_OrigSim2Vcomp.jpg,1.05
Simulated_V2\226_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\227_OrigSim2Vcomp.jpg,0.3
Simulated_V2\228_OrigSim2Vcomp.jpg,0.425
Simulated_V2\229_OrigSim2Vcomp.jpg,0.2375
Simulated_V2\230_OrigSim2Vcomp.jpg,0.3625
,
Simulated_V3\025_OrigSim3Vcomp.jpg,0.55
Simulated_V3\026_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\027_OrigSim3Vcomp.jpg,0.55
Simulated_V3\028_OrigSim3Vcomp.jpg,2.3625
Simulated_V3\029_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\030_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\031_OrigSim3Vcomp.jpg,1.425
Simulated_V3\034_OrigSim3Vcomp.jpg,1.6125
Simulated_V3\039_OrigSim3Vcomp.jpg,0.425
Simulated_V3\040_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\041_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\042_OrigSim3Vcomp.jpg,0.3
Simulated_V3\043_OrigSim3Vcomp.jpg,0.175
Simulated_V3\044_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\045_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\046_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\047_OrigSim3Vcomp.jpg,1.3625
Simulated_V3\048_OrigSim3Vcomp.jpg,0.55
Simulated_V3\049_OrigSim3Vcomp.jpg,0.3
Simulated_V3\050_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\051_OrigSim3Vcomp.jpg,0.425
Simulated_V3\052_OrigSim3Vcomp.jpg,1.05
Simulated_V3\053_OrigSim3Vcomp.jpg,0.425
Simulated_V3\055_OrigSim3Vcomp.jpg,0.55
Simulated_V3\056_OrigSim3Vcomp.jpg,2.7375
Simulated_V3\057_OrigSim3Vcomp.jpg,0.425
Simulated_V3\058_OrigSim3Vcomp.jpg,0.55
Simulated_V3\059_OrigSim3Vcomp.jpg,0.2375
Simulated_V3\060_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\061_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\062_OrigSim3Vcomp.jpg,0.425
Simulated_V3\063_OrigSim3Vcomp.jpg,0.3
Simulated_V3\064_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\065_OrigSim3Vcomp.jpg,0.675
Simulated_V3\066_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\067_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\068_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\069_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\070_OrigSim3Vcomp.jpg,0.425
Simulated_V3\071_OrigSim3Vcomp.jpg,0.925
Simulated_V3\072_OrigSim3Vcomp.jpg,0.3
Simulated_V3\073_OrigSim3Vcomp.jpg,0.675
Simulated_V3\075_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\076_OrigSim3Vcomp.jpg,0.425
Simulated_V3\077_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\078_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\079_OrigSim3Vcomp.jpg,0.925
Simulated_V3\080_OrigSim3Vcomp.jpg,0.425
Simulated_V3\081_OrigSim3Vcomp.jpg,0.425
Simulated_V3\082_OrigSim3Vcomp.jpg,0.425
Simulated_V3\084_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\085_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\087_OrigSim3Vcomp.jpg,0.425
Simulated_V3\088_OrigSim3Vcomp.jpg,0.425
Simulated_V3\089_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\090_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\091_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\092_OrigSim3Vcomp.jpg,0.8
Simulated_V3\093_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\095_OrigSim3Vcomp.jpg,0.925
Simulated_V3\096_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\097_OrigSim3Vcomp.jpg,0.9875
Simulated_V3\099_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\100_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\103_OrigSim3Vcomp.jpg,0.9875
Simulated_V3\104_OrigSim3Vcomp.jpg,1.175
Simulated_V3\105_OrigSim3Vcomp.jpg,1.3625
Simulated_V3\106_OrigSim3Vcomp.jpg,1.2375
Simulated_V3\107_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\108_OrigSim3Vcomp.jpg,0.9875
Simulated_V3\109_OrigSim3Vcomp.jpg,1.425
Simulated_V3\110_OrigSim3Vcomp.jpg,1.675
Simulated_V3\113_OrigSim3Vcomp.jpg,0.675
Simulated_V3\114_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\116_OrigSim3Vcomp.jpg,1.8
Simulated_V3\117_OrigSim3Vcomp.jpg,2.1125
Simulated_V3\118_OrigSim3Vcomp.jpg,2.3
Simulated_V3\119_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\120_OrigSim3Vcomp.jpg,0.425
Simulated_V3\121_OrigSim3Vcomp.jpg,1.7375
Simulated_V3\125_OrigSim3Vcomp.jpg,2.175
Simulated_V3\126_OrigSim3Vcomp.jpg,0.3
Simulated_V3\128_OrigSim3Vcomp.jpg,0.55
Simulated_V3\130_OrigSim3Vcomp.jpg,2.3625
Simulated_V3\131_OrigSim3Vcomp.jpg,0.425
Simulated_V3\133_OrigSim3Vcomp.jpg,0.2375
Simulated_V3\134_OrigSim3Vcomp.jpg,1.2375
Simulated_V3\135_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\140_OrigSim3Vcomp.jpg,0.675
Simulated_V3\142_OrigSim3Vcomp.jpg,0.425
Simulated_V3\143_OrigSim3Vcomp.jpg,0.925
Simulated_V3\144_OrigSim3Vcomp.jpg,1.675
Simulated_V3\145_OrigSim3Vcomp.jpg,0.425
Simulated_V3\146_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\148_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\150_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\152_OrigSim3Vcomp.jpg,0.8625
Simulated_V3\153_OrigSim3Vcomp.jpg,0.9875
Simulated_V3\154_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\155_OrigSim3Vcomp.jpg,0.175
Simulated_V3\156_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\157_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\158_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\159_OrigSim3Vcomp.jpg,0.9875
Simulated_V3\160_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\161_OrigSim3Vcomp.jpg,0.8
Simulated_V3\162_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\163_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\165_OrigSim3Vcomp.jpg,0.8625
Simulated_V3\166_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\167_OrigSim3Vcomp.jpg,0.425
Simulated_V3\168_OrigSim3Vcomp.jpg,0.55
Simulated_V3\169_OrigSim3Vcomp.jpg,0.3
Simulated_V3\170_OrigSim3Vcomp.jpg,0.3
Simulated_V3\171_OrigSim3Vcomp.jpg,1.3625
Simulated_V3\172_OrigSim3Vcomp.jpg,2.6125
Simulated_V3\173_OrigSim3Vcomp.jpg,0.2375
Simulated_V3\174_OrigSim3Vcomp.jpg,0.3
Simulated_V3\175_OrigSim3Vcomp.jpg,0.425
Simulated_V3\181_OrigSim3Vcomp.jpg,0.425
Simulated_V3\184_OrigSim3Vcomp.jpg,1.2375
Simulated_V3\185_OrigSim3Vcomp.jpg,0.8625
Simulated_V3\188_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\193_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\195_OrigSim3Vcomp.jpg,0.8
Simulated_V3\196_OrigSim3Vcomp.jpg,0.8625
Simulated_V3\198_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\199_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\202_OrigSim3Vcomp.jpg,1.8
Simulated_V3\204_OrigSim3Vcomp.jpg,0.4875
Simulated_V3\206_OrigSim3Vcomp.jpg,2.925
Simulated_V3\207_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\208_OrigSim3Vcomp.jpg,1.05
Simulated_V3\209_OrigSim3Vcomp.jpg,0.3
Simulated_V3\210_OrigSim3Vcomp.jpg,0.7375
Simulated_V3\212_OrigSim3Vcomp.jpg,1.6125
Simulated_V3\213_OrigSim3Vcomp.jpg,0.2375
Simulated_V3\214_OrigSim3Vcomp.jpg,1.2375
Simulated_V3\215_OrigSim3Vcomp.jpg,0.925
Simulated_V3\216_OrigSim3Vcomp.jpg,0.1125
Simulated_V3\218_OrigSim3Vcomp.jpg,0.3625
Simulated_V3\219_OrigSim3Vcomp.jpg,0.3
Simulated_V3\220_OrigSim3Vcomp.jpg,2.8
Simulated_V3\222_OrigSim3Vcomp.jpg,1.175
Simulated_V3\223_OrigSim3Vcomp.jpg,0.6125
Simulated_V3\224_OrigSim3Vcomp.jpg,0.2375
Simulated_V3\225_OrigSim3Vcomp.jpg,2.925
Simulated_V3\226_OrigSim3Vcomp.jpg,0.2375
Simulated_V3\227_OrigSim3Vcomp.jpg,0.3
Simulated_V3\228_OrigSim3Vcomp.jpg,0.55
Simulated_V3\229_OrigSim3Vcomp.jpg,0.1125
Simulated_V3\230_OrigSim3Vcomp.jpg,0.4875
,
Simulated_V4\025_OrigSim4Vcomp.jpg,0.6125
